provider,sendCurrency,receiveCurrency,sendAmount,exchangeRate,receiveAmount,fee,timestamp,success,error
Ria,CAD,INR,1000,8.12376,8123.760000000001,,2026-04-26T05:36:19.729Z,true,
Ria,CAD,KES,1000,68.79506,68795.06000000001,,2026-04-26T05:36:22.252Z,true,
Ria,CAD,MXN,1000,94.6087,94608.7,,2026-04-26T05:36:24.752Z,true,
Ria,CAD,NGN,1000,12.71293,12712.93,,2026-04-26T05:36:27.268Z,true,
Ria,CAD,PHP,1000,992.51653,992516.53,,2026-04-26T05:36:29.784Z,true,
Ria,CAD,PKR,1000,44.39575,44395.75,,2026-04-26T05:36:32.281Z,true,
Ria,EUR,GHS,1000,8.12376,8123.760000000001,,2026-04-26T05:36:34.805Z,true,
Ria,EUR,INR,1000,13.01764,13017.64,,2026-04-26T05:36:37.833Z,true,
Ria,EUR,KES,1000,110.34677,110346.77,,2026-04-26T05:36:40.352Z,true,
Ria,EUR,MXN,1000,151.60248,151602.48,,2026-04-26T05:36:42.850Z,true,
Ria,EUR,NGN,1000,20.37747,20377.469999999998,,2026-04-26T05:36:45.332Z,true,
Ria,EUR,PHP,1000,1592.07445,1592074.4500000002,,2026-04-26T05:36:47.849Z,true,
Ria,EUR,PKR,1000,71.14046,71140.46,,2026-04-26T05:36:50.359Z,true,
Ria,GBP,GHS,1000,13.01764,13017.64,,2026-04-26T05:36:52.899Z,true,
Ria,GBP,INR,1000,15.02709,15027.09,,2026-04-26T05:36:55.890Z,true,
Ria,GBP,KES,1000,127.38028,127380.28,,2026-04-26T05:36:58.417Z,true,
Ria,GBP,MXN,1000,175.00437,175004.37,,2026-04-26T05:37:00.916Z,true,
Ria,GBP,NGN,1000,23.52301,23523.01,,2026-04-26T05:37:03.415Z,true,
